Employee_ID,Month,Year,Target_Value
EMP001,Jul,2025,2698942.0
EMP002,Jul,2025,10391500.0
EMP003,Jul,2025,6111625.0
EMP004,Jul,2025,3767277.0
EMP005,Jul,2025,9403390.0
EMP006,Jul,2025,6021375.0
EMP007,Jul,2025,2806111.0
EMP008,Jul,2025,9419267.0
EMP009,Jul,2025,4149935.0
EMP010,Jul,2025,682428.0
EMP011,Jul,2025,7334304.0
EMP012,Jul,2025,6177460.0
EMP013,Jul,2025,1124862.0
EMP014,Jul,2025,7958664.0
EMP015,Jul,2025,6186382.0
EMP016,Jul,2025,1777684.0
EMP017,Jul,2025,13013500.0
EMP018,Jul,2025,6381097.0
EMP019,Jul,2025,1711130.0
EMP020,Jul,2025,5930001.0
EMP021,Jul,2025,6511686.0
EMP022,Jul,2025,2181482.0
EMP023,Jul,2025,10741761.0
EMP024,Jul,2025,5188985.0
EMP025,Jul,2025,2856711.0
EMP026,Jul,2025,4478467.0
EMP027,Jul,2025,3477741.0
EMP028,Jul,2025,1372347.0
EMP029,Jul,2025,4418451.0
EMP030,Jul,2025,4878749.0
EMP031,Jul,2025,1076192.0
EMP032,Jul,2025,7911026.0
EMP033,Jul,2025,6386173.0
EMP034,Jul,2025,1619206.0
EMP035,Jul,2025,7442433.0
EMP036,Jul,2025,5548973.0
EMP037,Jul,2025,2739845.0
EMP038,Jul,2025,3123476.0
EMP039,Jul,2025,5246339.0
EMP040,Jul,2025,1561511.0
EMP041,Jul,2025,6081882.0
EMP042,Jul,2025,3245550.0
EMP043,Jul,2025,2146157.0
EMP044,Jul,2025,5872483.0
EMP045,Jul,2025,6018459.0
EMP046,Jul,2025,1850290.0
EMP047,Jul,2025,5218110.0
EMP048,Jul,2025,2670354.0
EMP049,Jul,2025,2437696.0
EMP050,Jul,2025,4611009.0
EMP001,Aug,2025,2127023.0
EMP002,Aug,2025,6044944.0
EMP003,Aug,2025,6206520.0
EMP004,Aug,2025,3767325.0
EMP005,Aug,2025,6741659.0
EMP006,Aug,2025,3894153.0
EMP007,Aug,2025,2620784.0
EMP008,Aug,2025,10808938.0
EMP009,Aug,2025,3168698.0
EMP010,Aug,2025,1939355.0
EMP011,Aug,2025,10001697.0
EMP012,Aug,2025,9439019.0
EMP013,Aug,2025,3703013.0
EMP014,Aug,2025,7032202.0
EMP015,Aug,2025,4112805.0
EMP016,Aug,2025,3901732.0
EMP017,Aug,2025,19657999.0
EMP018,Aug,2025,5887111.0
EMP019,Aug,2025,3444149.0
EMP020,Aug,2025,10582898.0
EMP021,Aug,2025,3645685.0
EMP022,Aug,2025,3714300.0
EMP023,Aug,2025,14217925.0
EMP024,Aug,2025,3764768.0
EMP025,Aug,2025,2265510.0
EMP026,Aug,2025,5028873.0
EMP027,Aug,2025,8277431.0
EMP028,Aug,2025,1525037.0
EMP029,Aug,2025,11647634.0
EMP030,Aug,2025,4741940.0
EMP031,Aug,2025,3981479.0
EMP032,Aug,2025,6173842.0
EMP033,Aug,2025,3248601.0
EMP034,Aug,2025,4085551.0
EMP035,Aug,2025,10044964.0
EMP036,Aug,2025,2992271.0
EMP037,Aug,2025,2289361.0
EMP038,Aug,2025,12367016.0
EMP039,Aug,2025,5853106.0
EMP040,Aug,2025,2545126.0
EMP041,Aug,2025,5471979.0
EMP042,Aug,2025,5371288.0
EMP043,Aug,2025,4240724.0
EMP044,Aug,2025,13251479.0
EMP045,Aug,2025,3971501.0
EMP046,Aug,2025,3497918.0
EMP047,Aug,2025,4161950.0
EMP048,Aug,2025,7353426.0
EMP049,Aug,2025,2984502.0
EMP050,Aug,2025,6207369.0
EMP001,Sep,2025,3817491.0
EMP002,Sep,2025,10645795.0
EMP003,Sep,2025,3064158.0
EMP004,Sep,2025,1458526.0
EMP005,Sep,2025,10849285.0
EMP006,Sep,2025,8624363.0
EMP007,Sep,2025,2621105.0
EMP008,Sep,2025,13191891.0
EMP009,Sep,2025,3410960.0
EMP010,Sep,2025,2992941.0
EMP011,Sep,2025,10330632.0
EMP012,Sep,2025,7283039.0
EMP013,Sep,2025,3659911.0
EMP014,Sep,2025,10654894.0
EMP015,Sep,2025,5603492.0
EMP016,Sep,2025,1713425.0
EMP017,Sep,2025,4026064.0
EMP018,Sep,2025,5741946.0
EMP019,Sep,2025,2749557.0
EMP020,Sep,2025,9982412.0
EMP021,Sep,2025,3669960.0
EMP022,Sep,2025,3833365.0
EMP023,Sep,2025,8154566.0
EMP024,Sep,2025,9117956.0
EMP025,Sep,2025,3361212.0
EMP026,Sep,2025,9233219.0
EMP027,Sep,2025,7134389.0
EMP028,Sep,2025,2276243.0
EMP029,Sep,2025,9384767.0
EMP030,Sep,2025,6841386.0
EMP031,Sep,2025,2490315.0
EMP032,Sep,2025,5244513.0
EMP033,Sep,2025,6130825.0
EMP034,Sep,2025,3850112.0
EMP035,Sep,2025,9376240.0
EMP036,Sep,2025,6097114.0
EMP037,Sep,2025,3698299.0
EMP038,Sep,2025,8189505.0
EMP039,Sep,2025,7719434.0
EMP040,Sep,2025,3121497.0
EMP041,Sep,2025,8151373.0
EMP042,Sep,2025,8457989.0
EMP043,Sep,2025,3091087.0
EMP044,Sep,2025,12837371.0
EMP045,Sep,2025,6669731.0
EMP046,Sep,2025,1938394.0
EMP047,Sep,2025,5149999.0
EMP048,Sep,2025,1980506.0
EMP049,Sep,2025,3529145.0
EMP050,Sep,2025,6816145.0
EMP001,Oct,2025,2744037.0
EMP002,Oct,2025,6649618.0
EMP003,Oct,2025,6784503.0
EMP004,Oct,2025,1797723.0
EMP005,Oct,2025,8724229.0
EMP006,Oct,2025,3798730.0
EMP007,Oct,2025,3291072.0
EMP008,Oct,2025,7250477.0
EMP009,Oct,2025,3456765.0
EMP010,Oct,2025,3399925.0
EMP011,Oct,2025,8298079.0
EMP012,Oct,2025,8238203.0
EMP013,Oct,2025,4199771.0
EMP014,Oct,2025,14465862.0
EMP015,Oct,2025,7041123.0
EMP016,Oct,2025,2942582.0
EMP017,Oct,2025,8691020.0
EMP018,Oct,2025,8150709.0
EMP019,Oct,2025,3314545.0
EMP020,Oct,2025,10197795.0
EMP021,Oct,2025,5469877.0
EMP022,Oct,2025,2972499.0
EMP023,Oct,2025,11311186.0
EMP024,Oct,2025,4882921.0
EMP025,Oct,2025,1817433.0
EMP026,Oct,2025,13938165.0
EMP027,Oct,2025,9202757.0
EMP028,Oct,2025,4409519.0
EMP029,Oct,2025,10981965.0
EMP030,Oct,2025,6787022.0
EMP031,Oct,2025,2024323.0
EMP032,Oct,2025,6454261.0
EMP033,Oct,2025,8809908.0
EMP034,Oct,2025,4759779.0
EMP035,Oct,2025,10198138.0
EMP036,Oct,2025,5221379.0
EMP037,Oct,2025,3037143.0
EMP038,Oct,2025,5244944.0
EMP039,Oct,2025,4535343.0
EMP040,Oct,2025,2283655.0
EMP041,Oct,2025,8204188.0
EMP042,Oct,2025,4699915.0
EMP043,Oct,2025,4198217.0
EMP044,Oct,2025,8094156.0
EMP045,Oct,2025,5222131.0
EMP046,Oct,2025,1461144.0
EMP047,Oct,2025,11598974.0
EMP048,Oct,2025,2762063.0
EMP049,Oct,2025,1558510.0
EMP050,Oct,2025,12431600.0
EMP001,Nov,2025,1880679.0
EMP002,Nov,2025,7369049.0
EMP003,Nov,2025,4529361.0
EMP004,Nov,2025,2137236.0
EMP005,Nov,2025,3369961.0
EMP006,Nov,2025,10264537.0
EMP007,Nov,2025,2021475.0
EMP008,Nov,2025,8725761.0
EMP009,Nov,2025,8214056.0
EMP010,Nov,2025,986435.0
EMP011,Nov,2025,14647458.0
EMP012,Nov,2025,6923859.0
EMP013,Nov,2025,4608170.0
EMP014,Nov,2025,14495932.0
EMP015,Nov,2025,7519681.0
EMP016,Nov,2025,2111061.0
EMP017,Nov,2025,7015929.0
EMP018,Nov,2025,6950686.0
EMP019,Nov,2025,2356155.0
EMP020,Nov,2025,10940302.0
EMP021,Nov,2025,7916512.0
EMP022,Nov,2025,2849438.0
EMP023,Nov,2025,4699094.0
EMP024,Nov,2025,4904798.0
EMP025,Nov,2025,2582751.0
EMP026,Nov,2025,11293238.0
EMP027,Nov,2025,5032482.0
EMP028,Nov,2025,3219203.0
EMP029,Nov,2025,8098149.0
EMP030,Nov,2025,9067044.0
EMP031,Nov,2025,3386988.0
EMP032,Nov,2025,9526383.0
EMP033,Nov,2025,7538926.0
EMP034,Nov,2025,4061209.0
EMP035,Nov,2025,6532311.0
EMP036,Nov,2025,3007786.0
EMP037,Nov,2025,2777823.0
EMP038,Nov,2025,9973757.0
EMP039,Nov,2025,7851399.0
EMP040,Nov,2025,3284551.0
EMP041,Nov,2025,7904732.0
EMP042,Nov,2025,7242825.0
EMP043,Nov,2025,2205590.0
EMP044,Nov,2025,6841909.0
EMP045,Nov,2025,6799113.0
EMP046,Nov,2025,3469973.0
EMP047,Nov,2025,4328599.0
EMP048,Nov,2025,6783269.0
EMP049,Nov,2025,2535676.0
EMP050,Nov,2025,5007610.0
EMP001,Dec,2025,1530738.0
EMP002,Dec,2025,11675769.0
EMP003,Dec,2025,7398201.0
EMP004,Dec,2025,3733271.0
EMP005,Dec,2025,6076514.0
EMP006,Dec,2025,9586487.0
EMP007,Dec,2025,3405711.0
EMP008,Dec,2025,3165780.0
EMP009,Dec,2025,9000701.0
EMP010,Dec,2025,2542284.0
EMP011,Dec,2025,10390772.0
EMP012,Dec,2025,3550305.0
EMP013,Dec,2025,4035240.0
EMP014,Dec,2025,12613528.0
EMP015,Dec,2025,4195777.0
EMP016,Dec,2025,4231808.0
EMP017,Dec,2025,8958609.0
EMP018,Dec,2025,10549220.0
EMP019,Dec,2025,1540868.0
EMP020,Dec,2025,12193287.0
EMP021,Dec,2025,8129839.0
EMP022,Dec,2025,4040941.0
EMP023,Dec,2025,10907096.0
EMP024,Dec,2025,6162519.0
EMP025,Dec,2025,4671285.0
EMP026,Dec,2025,3199239.0
EMP027,Dec,2025,11813098.0
EMP028,Dec,2025,2432793.0
EMP029,Dec,2025,10084946.0
EMP030,Dec,2025,5192374.0
EMP031,Dec,2025,2013133.0
EMP032,Dec,2025,9810071.0
EMP033,Dec,2025,5832390.0
EMP034,Dec,2025,2687190.0
EMP035,Dec,2025,7574806.0
EMP036,Dec,2025,6207526.0
EMP037,Dec,2025,4183458.0
EMP038,Dec,2025,8778472.0
EMP039,Dec,2025,9829696.0
EMP040,Dec,2025,2885180.0
EMP041,Dec,2025,10755151.0
EMP042,Dec,2025,5522338.0
EMP043,Dec,2025,2989833.0
EMP044,Dec,2025,5686045.0
EMP045,Dec,2025,4909398.0
EMP046,Dec,2025,3286033.0
EMP047,Dec,2025,4083821.0
EMP048,Dec,2025,7367057.0
EMP049,Dec,2025,1909335.0
EMP050,Dec,2025,8213590.0
EMP001,Jan,2026,1187504.0
EMP002,Jan,2026,6867241.0
EMP003,Jan,2026,9019095.0
EMP004,Jan,2026,1755911.0
EMP005,Jan,2026,13392332.0
EMP006,Jan,2026,7908338.0
EMP007,Jan,2026,3454033.0
EMP008,Jan,2026,13194468.0
EMP009,Jan,2026,5810985.0
EMP010,Jan,2026,2938897.0
EMP011,Jan,2026,6578758.0
